PIPELINE,ALGO_NAME,STACK_FLG,PP_FLAG,SCORE,HYPER_NAME,HYPER_TYPE,HYPER_VALUE
1.0,adaboostregressor,N,N,4.376542069773388,base_estimator,N,
1.0,adaboostregressor,N,N,4.376542069773388,learning_rate,N,0.01
1.0,adaboostregressor,N,N,4.376542069773388,loss,C,linear
1.0,adaboostregressor,N,N,4.376542069773388,n_estimators,N,100
1.0,adaboostregressor,N,N,4.376542069773388,random_state,N,
2.0,adaboostregressor,N,N,4.339522836626471,base_estimator,N,
2.0,adaboostregressor,N,N,4.339522836626471,learning_rate,N,0.01
2.0,adaboostregressor,N,N,4.339522836626471,loss,C,square
2.0,adaboostregressor,N,N,4.339522836626471,n_estimators,N,100
2.0,adaboostregressor,N,N,4.339522836626471,random_state,N,
3.0,binarizer,N,Y,7.970957903240288,copy,C,True
3.0,binarizer,N,Y,7.970957903240288,threshold,N,0.2
3.0,decisiontreeregressor,N,N,7.970957903240288,criterion,C,mse
3.0,decisiontreeregressor,N,N,7.970957903240288,max_depth,N,2
3.0,decisiontreeregressor,N,N,7.970957903240288,max_features,N,
3.0,decisiontreeregressor,N,N,7.970957903240288,max_leaf_nodes,N,
3.0,decisiontreeregressor,N,N,7.970957903240288,min_impurity_decrease,N,0.0
3.0,decisiontreeregressor,N,N,7.970957903240288,min_impurity_split,N,
3.0,decisiontreeregressor,N,N,7.970957903240288,min_samples_leaf,N,8
3.0,decisiontreeregressor,N,N,7.970957903240288,min_samples_split,N,3
3.0,decisiontreeregressor,N,N,7.970957903240288,min_weight_fraction_leaf,N,0.0
3.0,decisiontreeregressor,N,N,7.970957903240288,presort,C,False
3.0,decisiontreeregressor,N,N,7.970957903240288,random_state,N,
3.0,decisiontreeregressor,N,N,7.970957903240288,splitter,C,best
4.0,binarizer,N,Y,7.999232514465274,copy,C,True
4.0,binarizer,N,Y,7.999232514465274,threshold,N,0.2
4.0,featureagglomeration,N,Y,7.999232514465274,affinity,C,l1
4.0,featureagglomeration,N,Y,7.999232514465274,compute_full_tree,C,auto
4.0,featureagglomeration,N,Y,7.999232514465274,connectivity,N,
4.0,featureagglomeration,N,Y,7.999232514465274,distance_threshold,N,
4.0,featureagglomeration,N,Y,7.999232514465274,linkage,C,average
4.0,featureagglomeration,N,Y,7.999232514465274,memory,N,
4.0,featureagglomeration,N,Y,7.999232514465274,n_clusters,N,2
4.0,featureagglomeration,N,Y,7.999232514465274,pooling_func,N,<function mean at 0x1135ba950>
4.0,decisiontreeregressor,N,N,7.999232514465274,criterion,C,mse
4.0,decisiontreeregressor,N,N,7.999232514465274,max_depth,N,2
4.0,decisiontreeregressor,N,N,7.999232514465274,max_features,N,
4.0,decisiontreeregressor,N,N,7.999232514465274,max_leaf_nodes,N,
4.0,decisiontreeregressor,N,N,7.999232514465274,min_impurity_decrease,N,0.0
4.0,decisiontreeregressor,N,N,7.999232514465274,min_impurity_split,N,
4.0,decisiontreeregressor,N,N,7.999232514465274,min_samples_leaf,N,8
4.0,decisiontreeregressor,N,N,7.999232514465274,min_samples_split,N,3
4.0,decisiontreeregressor,N,N,7.999232514465274,min_weight_fraction_leaf,N,0.0
4.0,decisiontreeregressor,N,N,7.999232514465274,presort,C,False
4.0,decisiontreeregressor,N,N,7.999232514465274,random_state,N,
4.0,decisiontreeregressor,N,N,7.999232514465274,splitter,C,best
5.0,extratreesregressor,N,N,6.445808527348447,bootstrap,C,True
5.0,extratreesregressor,N,N,6.445808527348447,criterion,C,mse
5.0,extratreesregressor,N,N,6.445808527348447,max_depth,N,
5.0,extratreesregressor,N,N,6.445808527348447,max_features,N,0.2
5.0,extratreesregressor,N,N,6.445808527348447,max_leaf_nodes,N,
5.0,extratreesregressor,N,N,6.445808527348447,min_impurity_decrease,N,0.0
5.0,extratreesregressor,N,N,6.445808527348447,min_impurity_split,N,
5.0,extratreesregressor,N,N,6.445808527348447,min_samples_leaf,N,7
5.0,extratreesregressor,N,N,6.445808527348447,min_samples_split,N,7
5.0,extratreesregressor,N,N,6.445808527348447,min_weight_fraction_leaf,N,0.0
5.0,extratreesregressor,N,N,6.445808527348447,n_estimators,N,100
5.0,extratreesregressor,N,N,6.445808527348447,n_jobs,N,
5.0,extratreesregressor,N,N,6.445808527348447,oob_score,C,False
5.0,extratreesregressor,N,N,6.445808527348447,random_state,N,
5.0,extratreesregressor,N,N,6.445808527348447,verbose,N,0
5.0,extratreesregressor,N,N,6.445808527348447,warm_start,C,False
6.0,minmaxscaler,N,Y,6.362179143438306,copy,C,True
6.0,minmaxscaler,N,Y,6.362179143438306,feature_range,N,"(0, 1)"
6.0,kneighborsregressor,N,N,6.362179143438306,algorithm,C,auto
6.0,kneighborsregressor,N,N,6.362179143438306,leaf_size,N,30
6.0,kneighborsregressor,N,N,6.362179143438306,metric,C,minkowski
6.0,kneighborsregressor,N,N,6.362179143438306,metric_params,N,
6.0,kneighborsregressor,N,N,6.362179143438306,n_jobs,N,
6.0,kneighborsregressor,N,N,6.362179143438306,n_neighbors,N,82
6.0,kneighborsregressor,N,N,6.362179143438306,p,N,1
6.0,kneighborsregressor,N,N,6.362179143438306,weights,C,distance
7.0,kneighborsregressor,N,N,5.897992349782497,algorithm,C,auto
