ALGO_NAME,TOTAL_HYPER_COUNT,HYPER_NAME,HYPER_TYPE,TOTAL_HYPER_VALUE_COUNT
elasticnetcv,2,l1_ratio,N,21
elasticnetcv_stack,2,l1_ratio,N,21
elasticnetcv,2,tol,N,5
elasticnetcv_stack,2,tol,N,5
extratreesregressor,5,n_estimators,N,1
extratreesregressor,5,max_features,N,20
extratreesregressor,20,min_samples_split,N,19
extratreesregressor,21,min_samples_leaf,N,20
extratreesregressor,5,bootstrap,S,2
gradientboostingregressor,9,n_estimators,N,1
gradientboostingregressor,9,loss,S,4
gradientboostingregressor,9,learning_rate,N,5
gradientboostingregressor,11,max_depth,N,10
gradientboostingregressor,20,min_samples_split,N,19
gradientboostingregressor,21,min_samples_leaf,N,20
gradientboostingregressor,9,subsample,N,20
gradientboostingregressor,9,max_features,N,20
gradientboostingregressor,9,alpha,N,6
adaboostregressor,3,n_estimators,N,1
adaboostregressor,3,learning_rate,N,5
adaboostregressor,3,loss,S,3
decisiontreeregressor,11,max_depth,N,10
decisiontreeregressor_stack,11,max_depth,N,10
decisiontreeregressor,20,min_samples_split,N,19
decisiontreeregressor_stack,20,min_samples_split,N,19
decisiontreeregressor,21,min_samples_leaf,N,20
decisiontreeregressor_stack,21,min_samples_leaf,N,20
kneighborsregressor,101,n_neighbors,N,100
kneighborsregressor,3,weights,S,2
kneighborsregressor,3,p,N,2
lassolarscv,1,normalize,S,2
lassolarscv_stack,1,normalize,S,2
linearsvr,5,loss,S,2
linearsvr,5,dual,S,2
linearsvr,5,tol,N,5
linearsvr,5,C,N,11
linearsvr,5,epsilon,N,5
randomforestregressor,5,n_estimators,N,1
randomforestregressor,5,max_features,N,20
randomforestregressor,20,min_samples_split,N,19
randomforestregressor,21,min_samples_leaf,N,20
randomforestregressor,5,bootstrap,S,2
xgbregressor,7,n_estimators,N,1
xgbregressor_stack,7,n_estimators,N,1
xgbregressor,11,max_depth,N,10
xgbregressor_stack,11,max_depth,N,10
xgbregressor,7,learning_rate,N,5
xgbregressor_stack,7,learning_rate,N,5
xgbregressor,7,subsample,N,20
xgbregressor_stack,7,subsample,N,20
xgbregressor,21,min_child_weight,N,20
xgbregressor_stack,21,min_child_weight,N,20
xgbregressor,7,nthread,N,1
xgbregressor_stack,7,nthread,N,1
xgbregressor,7,objective,S,1
xgbregressor_stack,7,objective,S,1
nystroem,3,kernel,S,9
nystroem,3,gamma,N,21
nystroem,11,n_components,N,10
rbfsampler,1,gamma,N,21
